phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
что помогает,6349707,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
со мной,3502531,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бесплатная нейросеть,914595,similar,корпоративная нейросеть,other,informational,Информационный,blog,P4-blog
нейросеть бесплатно,914594,similar,корпоративная нейросеть,other,informational,Информационный,blog,P4-blog
ко мне,865269,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
она такая,647925,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
я помогу,423100,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
помоги мне,423099,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
не со мной,400561,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
business,305868,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24,296948,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как правильно поставить,260942,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бизнесмен,232849,similar,rag для бизнеса,other,informational,Информационный,blog,P4-blog
купи билет ру,229364,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
позови меня,226187,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить автомат,220670,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
помощь это,213537,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить робота,151852,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
робот купить,151852,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
срм,146793,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
магазины рядом со мной,144460,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 вход,130076,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нужна помощь,107954,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
вам помочь,96037,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
аудитор,91513,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
а так же,90880,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
инструкция по установке,87022,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
не особо,79078,similar,внедрение llm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
фирма это,73516,similar,автоматизация компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
позови меня с собой,62598,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
srm,61995,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
реализация имущества,61564,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
проверь себя и контрагента,60221,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить кассу,57288,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24,56665,similar,ии для битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
ии нейросеть бесплатно,57032,similar,корпоративная нейросеть,other,informational,Информационный,blog,P4-blog
хочу в адреналин,44935,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программы купить,40288,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
перехват управления,37849,similar,автоматизация бизнеса с помощью ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
эдо это,35914,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
прошу помочь,34705,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нейросеть это,30770,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
вне себя,30919,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу это,29151,similar,автоматизация бизнес процессов,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
учетная запись это,28643,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
магазин мм2,28186,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
automation,26414,similar,автоматизация компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция это,26134,similar,внедрение ии в бизнес,ai-corporate,irrelevant,Нерелевантный (шум),skip,P0-skip
монтаж это,25461,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
прийти на помощь,25034,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
црм,21994,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
все нейросети,21263,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
купить проект,21369,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
сопровождение это,20951,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
мия и я,20809,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
технологическая документация,19067,similar,автоматизация обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
куплю продам нея,18530,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо црцрии ит что это,17826,similar,ии для crm,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
корпоративное управление,18248,similar,автоматизация бизнеса с помощью ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
позови меня текст,17654,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автомойка купить,17641,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
установка кондиционера своими руками,17341,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нейросеть ответ,16774,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
эдо что это,16593,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
мирена цена,15927,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
электронный документ это,15382,similar,автоматизация документооборота,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
разрешите обратиться,15638,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
the business,15560,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
аудиторское заключение,15290,similar,аудит бизнес процессов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
техническая эксплуатация и сопровождение информационных систем,15039,similar,автоматизация поддержки клиентов,support,irrelevant,Нерелевантный (шум),skip,P0-skip
crm система это,14408,similar,автоматизация amoCRM,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
a store,14874,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
поможем вместе,14494,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
агентство свои,14356,similar,услуги по внедрению ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
мой ассистент рф,13511,similar,автоматизация crm,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс это,13935,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
центр закупок,13368,similar,ии для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
менеджер по закупкам,13298,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
маркетплейс тарифов,12995,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
роботизация,12731,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,blog,P4-blog
оказать содействие,12302,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
колл центр это,10982,similar,автоматизация поддержки клиентов,support,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P1-landing
она говорит отстань перехожу эту грань,11883,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
срм система,11782,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить машину на учет,11746,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ар это,11450,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
помощник по уходу,11249,similar,корпоративный ии ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа жди меня,11169,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
все зависит от нас самих,11016,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
support это,10736,similar,автоматизация поддержки клиентов,support,irrelevant,Нерелевантный (шум),skip,P0-skip
диадок войти,10418,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое нейросеть,10295,similar,корпоративная нейросеть,other,informational,Информационный,blog,P4-blog
себестоимость продаж,9301,similar,внедрение ии стоимость,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
амосрм,10207,similar,автоматизация amoCRM,other,irrelevant,Нерелевантный (шум),skip,P0-skip
фезам от чего помогает,9808,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24 вход,9195,similar,автоматизация битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
b2b продажи,9072,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
центр реализации,8569,similar,ии для отдела продаж,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
bitrix24 ru вход,8697,similar,автоматизация битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
роскомнадзор уведомление об обработке персональных данных,8847,similar,внедрение rag,other,informational,Информационный,blog,P4-blog
менеджмент профессии,8789,similar,автоматизация работы менеджеров,other,informational,Информационный,blog,P4-blog
bitrix24 ru вход в личный кабинет,8297,similar,ии для битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
профессия менеджмент,8789,similar,автоматизация работы менеджеров,other,irrelevant,Нерелевантный (шум),skip,P0-skip
цена признания,8745,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нейросеть что это,8056,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс что это,8458,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо автоматика,8265,similar,автоматизация бизнеса с помощью ии,other,informational,Информационный,blog,P4-blog
рада помочь,8214,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
она говорит отстань перехожу эту грань песня,7902,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
система эдо,7882,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
разработка рабочей документации,6649,similar,ии для обработки документов,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
битрикс 24 что,7082,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сэд дело,6675,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
поменять регион на соединенные штаты,6639,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
заявление о приеме на работу образец,5966,similar,автоматизация обработки заявок,support,commercial_medium,Коммерческий (средний),enterprise-ai-assistant,P2-landing/ads
ооо современные технологии,6282,similar,автоматизация crm,other,informational,Информационный,blog,P4-blog
т бизнес войти,6034,similar,аудит процессов компании,other,informational,Информационный,blog,P4-blog
сколько стоит поставить имплант,6127,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автобизнес,5978,similar,rag для бизнеса,other,informational,Информационный,blog,P4-blog
битрикс 24 это,6034,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
популярные нейросети,5226,similar,корпоративная нейросеть,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
диадок что это,5668,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция что это,5656,similar,внедрение ии в бизнес,ai-corporate,irrelevant,Нерелевантный (шум),skip,P0-skip
разделы рабочей документации,5138,similar,ии для обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
хочу в адреналин 1,5459,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
канал перехват управления,5412,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купи продай бесплатные,5391,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо интеграция,4839,similar,внедрение ии в бизнес,ai-corporate,commercial_medium,Коммерческий (средний),enterprise-ai-assistant,P2-landing/ads
башня помощника,5261,similar,корпоративный ии ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кадровый документооборот,4723,similar,автоматизация обработки документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
срм это,5205,similar,автоматизация crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сэд это,5179,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить коронку,5081,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация бизнес процессов,4543,popular,автоматизация бизнес процессов,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
устройство автоматического ввода резерва,4791,similar,автоматизация рутинных задач,other,informational,Информационный,blog,P4-blog
автоматика это,4756,similar,автоматизация компании,other,informational,Информационный,blog,P4-blog
автоматизация компании,3843,popular,автоматизация компании,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
сколько стоит поставить пломбу,4732,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
пришлите помощь,4714,similar,ии для службы поддержки,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поменять фамилию,4640,similar,внедрение ии стоимость,other,irrelevant,Нерелевантный (шум),skip,P0-skip
let me be mixed,4604,similar,ии для crm,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что это,4554,similar,ии для битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix 24,3892,similar,ии для битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
1с управление нашей фирмой,3877,similar,автоматизация бизнеса с помощью ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
признаки предприятия,4263,similar,аудит процессов компании,other,irrelevant,Нерелевантный (шум),skip,P0-skip
вендинговый аппарат купить,4251,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
техподдержка т банк,3714,similar,автоматизация поддержки клиентов,support,commercial_medium,Коммерческий (средний),enterprise-ai-assistant,P2-landing/ads
как поменять регион в настройках,4156,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
чем отличается робот от автомата,4044,similar,автоматизация обработки заявок,support,informational,Информационный,blog,P4-blog
чем отличается автомат от робота,4044,similar,автоматизация обработки заявок,support,informational,Информационный,blog,P4-blog
под система купить,4136,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
business fm,4125,similar,rag для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бизнесмен это,3966,similar,rag для бизнеса,other,informational,Информационный,blog,P4-blog
поменять регион в аппсторе на соединенные штаты,3952,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
