phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
business,304650,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
купить автомат,273027,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
позови меня,269840,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цена это,247864,similar,аудит crm отдела продаж,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
купить робота,186769,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
робот купить,186769,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
магазины рядом со мной,168631,similar,ии для отдела продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
купи билет ру,163488,similar,ии для отдела продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
ии для создания,162040,similar,разработка rag системы,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
моя цена,129065,similar,аудит crm отдела продаж,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
сфера услуг,99597,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
re premium,79663,similar,llm on premise,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
разработчик игр,70818,similar,разработка rag системы,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
я доставка,68800,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я услуги,66576,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
реализация имущества,61574,similar,ии для отдела продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
к вашим услугам,56277,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
эдо это,51939,similar,автоматизация документооборота,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
перехват управления,38598,similar,автоматизация бизнеса с помощью ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
индустрия сервис,34882,similar,как внедрить ии в компании,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
хочу в адреналин,33430,similar,внедрение rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
асу это,30483,similar,автоматизация бизнес процессов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интегратор,30176,similar,интеграция ии в бизнес процессы,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
эдо что это,25819,similar,автоматизация документооборота,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
automation,25635,similar,автоматизация документооборота,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция это,24278,similar,интегратор искусственного интеллекта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
добавленная стоимость,23575,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
