phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
битрикс 24,298315,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить робота,150713,similar,заказать автоматизацию бизнеса,automation-processes,informational,Информационный,blog,P4-blog
him i,134131,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 вход,130191,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24,108736,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
инструкция по установке,86874,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
механизм это,49688,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
хочу в адреналин,44235,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программы купить,40442,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
рпд,39449,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 вход,26887,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция это,26617,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24 ru,21136,similar,внедрение битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
купить проект,21453,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
автомойка купить,17506,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
установка кондиционера своими руками,17302,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс это,14024,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
она говорит отстань перехожу эту грань,11960,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
федеративное устройство,11925,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить машину на учет,11775,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
не удается установить соединение с сайтом,10739,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
b2b продажи,9180,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
роскомнадзор уведомление об обработке персональных данных,9078,similar,внедрение rag,other,informational,Информационный,blog,P4-blog
бизнес процесс это,8620,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
битрикс что это,8558,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
раг,8148,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
она говорит отстань перехожу эту грань песня,7961,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что,7164,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
поменять регион на соединенные штаты,6675,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
агрегат это,6251,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 это,6073,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция что это,5708,similar,внедрение ии в бизнес,ai-corporate,irrelevant,Нерелевантный (шум),skip,P0-skip
канал перехват управления,5394,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо интеграция,4867,similar,внедрение ии в бизнес,ai-corporate,commercial_medium,Коммерческий (средний),enterprise-ai-assistant,P2-landing/ads
битрикс войти,5278,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что это,4589,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix 24,3889,similar,bitrix24 ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
y2k это,4376,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
как поменять регион в настройках,4212,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
вендинговый аппарат купить,4183,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
чем отличается робот от автомата,4037,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
чем отличается автомат от робота,4037,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
что такое битрикс,4036,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
я хочу в адреналин,3762,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
роп это,3057,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 это,2767,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
агс это,2767,similar,rag система,ai-tech,irrelevant,Нерелевантный (шум),skip,P0-skip
zapret как установить,2701,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
crm для продаж,2133,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
rag система,1923,popular,rag система,ai-tech,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
вендинг это,2398,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
либерализация цен,2359,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
парентеральное введение это,2349,similar,внедрение rag,other,irrelevant,Нерелевантный (шум),skip,P0-skip
