phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
нейросеть бесплатно,903319,similar,корпоративная нейросеть,automation-processes,informational,Информационный,informational,blog,P4-blog
бесплатная нейросеть,903319,similar,корпоративная нейросеть,automation-processes,informational,Информационный,informational,blog,P4-blog
локально,704230,similar,локальная llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
не со мной,400874,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business,302146,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
информационная безопасность,226216,similar,безопасность нейросетей,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
т бизнес,216023,similar,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
безопасность это,167621,similar,безопасный ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
him i,133408,similar,rag система,ai-tech,negative,Негатив / шум,irrelevant,skip,P0-skip
пожарная охрана,109033,similar,безопасность rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
предприятие это,94079,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
re premium,86815,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
не особо,78009,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
мой бизнес,75921,similar,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
деловое предложение,72498,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
я бизнес,60215,similar,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
ии нейросеть бесплатно,56638,similar,корпоративная нейросеть,automation-processes,informational,Информационный,informational,blog,P4-blog
локально это,53830,similar,локальная llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
механизм это,48549,similar,rag система,ai-tech,negative,Негатив / шум,irrelevant,skip,P0-skip
системы противопожарной защиты,47368,similar,безопасность rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
хочу в адреналин,44935,similar,внедрение rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое ооо,39099,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
рпд,38918,similar,rag система,ai-tech,negative,Негатив / шум,irrelevant,skip,P0-skip
локально нормативные акты,38444,similar,локальная llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое организация,38212,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
противопожарная безопасность,34595,similar,безопасность rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
совет безопасности,33062,similar,безопасный ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть это,30388,similar,корпоративная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
небезопасно,30734,similar,безопасный ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое безопасность,29519,similar,безопасный ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
пожарная тревога,29248,similar,безопасность rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция это,26134,similar,внедрение rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
qwen нейросеть,25337,similar,локальная нейросеть,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
все нейросети,21300,similar,корпоративная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
локалы,21003,similar,локальная llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
установка кондиционера своими руками,17341,similar,внедрение rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть ответ,16248,similar,корпоративная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
эль ниньо что это,15900,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
деловая репутация,15142,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
фнс юл,14889,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
tytan professional,13344,similar,prompt injection,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
она говорит отстань перехожу эту грань,11883,similar,внедрение rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
федеративное устройство,11213,similar,rag система,ai-tech,negative,Негатив / шум,irrelevant,skip,P0-skip
особый противопожарный режим,11074,similar,безопасность rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое нейросеть,10149,similar,корпоративная нейросеть,automation-processes,informational,Информационный,informational,blog,P4-blog
техносферная безопасность это,10190,similar,безопасность нейросетей,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
коммерческая организация это,9463,similar,корпоративный ии,ai-corporate,solution_aware,Решение / автоматизация,commercial_medium,enterprise-ai-assistant,P2-landing/ads
корпорация это,9969,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
журнал эксплуатации систем противопожарной защиты,9365,similar,безопасность rag,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
перплексити нейросеть,8844,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
статус локалис,9237,similar,локальная llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
made in prc,8959,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
роскомнадзор уведомление об обработке персональных данных,8847,similar,внедрение rag,automation-processes,informational,Информационный,informational,blog,P4-blog
нейросеть что это,7958,similar,корпоративная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
раг,8162,similar,rag система,ai-tech,negative,Негатив / шум,irrelevant,skip,P0-skip
что значит локально,8118,similar,локальная llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
она говорит отстань перехожу эту грань песня,7902,similar,внедрение rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
безопасные духи,7861,similar,безопасность llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
безопасное обращение с оружием,7269,similar,безопасность llm,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
extreme injector,7217,similar,prompt injection,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть от сбера,6571,similar,безопасность нейросетей,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
премьер войти,6906,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
nope your too late i already died,6540,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
локальные нейросети,5926,popular,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
агрегат это,6178,similar,rag система,ai-tech,negative,Негатив / шум,irrelevant,skip,P0-skip
правила противопожарной безопасности,6161,similar,безопасность rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
