phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
купить автомат,220670,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
купить робота,151852,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
робот купить,151852,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
срм,146793,similar,интеграция crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
биз,141109,similar,автоматизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
аудитор,91513,similar,аудит бизнес процессов,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
проверь себя и контрагента,60221,similar,аудит бизнес процессов,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
функции управления,56560,similar,оптимизация бизнес процессов,consulting,solution_aware,Решение / автоматизация,commercial_medium,ai-discovery-roadmap,P2-landing/ads
асу это,29151,similar,автоматизация бизнес процессов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интегратор,28417,similar,интеграция бизнес систем,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
automation,26414,similar,автоматизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция это,26134,similar,внедрение автоматизации бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
optimization,24130,similar,оптимизация бизнес процессов,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
црм,21994,similar,интеграция crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
bitrix24 ru,21090,similar,интеграция битрикс24,bitrix24,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
установка кондиционера своими руками,17341,similar,внедрение crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
аудиторское заключение,15290,similar,аудит бизнес процессов,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс это,13935,similar,интеграция битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
менеджер по закупкам,13298,similar,автоматизация отдела продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
роботизация,12731,similar,автоматизация бизнес процессов,automation-processes,informational,Информационный,informational,blog,P4-blog
срм система,11782,similar,интеграция crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
вендинговый автомат,10919,similar,автоматизация бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
не удается установить соединение с сайтом,10734,similar,внедрение битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация бизнеса,9920,popular,автоматизация бизнеса,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
амосрм,10207,similar,интеграция amocrm,amocrm,negative,Негатив / шум,irrelevant,skip,P0-skip
синхронизация это,9300,similar,интеграция информационных систем,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс что это,8458,similar,интеграция битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо автоматика,8265,similar,автоматизация бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
интеграция решений с применением технологий искусственного интеллекта,5927,similar,внедрение автоматизации бизнеса,automation-processes,integration_high,Интеграция (высокий),commercial_high,business-process-automation,P1-landing
ооо интеграл,6649,similar,интеграция бизнес систем,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс 24 это,6034,similar,интеграция битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое интеграция,5812,similar,интегратор crm систем,crm,informational,Информационный,informational,blog,P4-blog
ооо интеграция,4839,similar,интегратор crm систем,crm,integration_high,Интеграция (высокий),commercial_high,business-process-automation,P1-landing
купи продай бесплатные,5391,similar,автоматизация отдела продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
срм это,5205,similar,интеграция crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс войти,5203,similar,интеграция битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция простыми словами,4129,similar,интегратор crm систем,crm,integration_high,Интеграция (высокий),commercial_high,business-process-automation,P1-landing
автоматизация бизнес процессов,4543,popular,автоматизация бизнес процессов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
