phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
москва сейчас,864071,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто создал,341487,similar,компания по разработке ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
моя москва,177279,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
расчет стоимости,132425,similar,сколько стоит внедрить ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сделано в москве,102391,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
инструкция по установке,90764,similar,внедрение ии под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
отписаться от платных услуг,77669,similar,сколько стоит внедрить ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что происходит в москве,75423,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что случилось в москве,63927,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я услуги,59221,similar,внедрить ии в компанию,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
повышение цен,56406,similar,сколько стоит внедрить ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
прейскурант цен,40680,similar,сколько стоит внедрить ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
дизайн завод,37240,similar,компания по разработке ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
импортер,35613,similar,импортозамещение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
индустрия сервис,31758,similar,внедрить ии в компанию,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
made in china,29458,similar,импортозамещение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
монтаж это,25675,similar,компания по внедрению ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что горит в москве сейчас,25235,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто создал тебя такой,24870,similar,компания по разработке ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция это,24436,similar,интегратор искусственного интеллекта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
импорт это,19288,similar,импортозамещение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
куплю продам нея,19196,similar,внедрение ии в отдел продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
мирена цена,18287,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
агентство свои,12831,similar,компания по внедрению ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сколько стоит поставить машину на учет,12001,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
маркетплейс тарифов,10742,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
давление в москве сейчас,10203,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
себестоимость продаж,8420,similar,стоимость внедрения ии,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
центр реализации,7962,similar,внедрение ии в отдел продаж,automation-sales,implementation_high,Внедрение / заказ (высокий),commercial_high,sales-ai-agent,P1-landing
мой создатель,9055,similar,компания по разработке ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть что это,8244,similar,интегратор искусственного интеллекта,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
цена признания,8467,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
контора это,8282,similar,компания по внедрению ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я покажу тебе москву,7189,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо современные технологии,6325,similar,компания по внедрению ии,automation-processes,informational,Информационный,informational,blog,P4-blog
сколько стоит поставить имплант,6286,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
releases 1c,5449,similar,llm для 1с,1c,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
ооо интеграция,4740,similar,внедрение ии под ключ,automation-processes,integration_high,Интеграция (высокий),commercial_high,business-process-automation,P1-landing
portal 1c,5766,similar,llm для 1с,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция что это,5491,similar,интегратор искусственного интеллекта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
поменять регион на соединенные штаты,5324,similar,внедрение ии под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
1c это,4713,similar,llm для 1с,1c,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
срм это,5180,similar,интеграция ии с crm,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
сколько стоит поставить коронку,5128,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто создал мир,5060,similar,компания по разработке ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сколько стоит поставить пломбу,4799,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сколько стоит поменять фамилию,4767,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
группа фабрика состав,4744,similar,компания по разработке ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
под система купить,4548,similar,внедрение ии в отдел продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
сколько стоит поменять права,3962,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
этапы реализации проекта,3396,similar,внедрение ии в отдел продаж,automation-sales,solution_aware,Решение / автоматизация,commercial_medium,sales-ai-agent,P2-landing/ads
its 1c ru,3946,similar,llm для 1с,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
агрегатор нейросетей,3905,similar,интегратор искусственного интеллекта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как поменять регион в настройках,3898,similar,внедрение ии под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
