phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
купить автомат,220670,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
свое дело,166528,similar,внедрение ии в бизнес процессы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить робота,151852,similar,заказать автоматизацию бизнеса,automation-processes,informational,Информационный,blog,P4-blog
инструкция по установке,87022,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить кассу,57288,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
программы купить,40288,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
торговый автомат,34664,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
операционная деятельность в логистике,30890,similar,внедрение ии в бизнес процессы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу это,29151,similar,автоматизация процессов с ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
automation,26414,similar,автоматизация процессов с ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция это,26134,similar,внедрение ии в бизнес процессы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать автомат,25635,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
купить проект,21369,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
автомойка купить,17641,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
дела ру,15119,similar,внедрение ии в бизнес процессы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
crm система это,14408,similar,автоматизация бизнес процессов с ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
crm системы что это,12058,similar,автоматизация процессов с ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
сколько стоит поставить машину на учет,11746,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
вендинговый автомат,10919,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
что такое crm система,10717,similar,внедрение ии в бизнес процессы,other,informational,Информационный,blog,P4-blog
b2b продажи,9072,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
crm система что это такое,8828,similar,автоматизация процессов с ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
ооо автоматика,8265,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
поменять регион на соединенные штаты,6639,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое интеграция,5812,similar,внедрение ии в бизнес процессы,other,informational,Информационный,blog,P4-blog
интеграция что это,5656,similar,внедрение ии в бизнес процессы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо интеграция,4839,similar,внедрение ии в бизнес процессы,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
нпо автоматики,4964,similar,ai автоматизация бизнес процессов,other,informational,Информационный,blog,P4-blog
1с управление нашей фирмой,3877,similar,автоматизация бизнеса под ключ,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
вендинговый аппарат купить,4251,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
процессный подход,4141,similar,внедрение ии в бизнес процессы,other,informational,Информационный,blog,P4-blog
как поменять регион в настройках,4156,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
чем отличается робот от автомата,4044,similar,автоматизация процессов с ии,other,informational,Информационный,blog,P4-blog
поменять регион в аппсторе на соединенные штаты,3952,similar,внедрение ии под ключ,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу тп это,3849,similar,автоматизация бизнес процессов с ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
система управления заказами пвз,3786,similar,автоматизация бизнеса под ключ,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
