phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
защитная,1690027,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
защищены,1107345,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть бесплатно,903319,similar,локальная нейросеть,automation-processes,informational,Информационный,informational,blog,P4-blog
защитник,706590,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
cloud,670333,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
она такая,646840,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский,417192,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
не со мной,400874,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business,305868,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
услышь меня,250046,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
т бизнес,220716,similar,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
от а до я,121223,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
защита информации,115893,similar,защищенное облако,automation-processes,informational,Информационный,informational,blog,P4-blog
предприятие это,98156,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
защита данных,88739,similar,безопасность облачной инфраструктуры,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
cloud ru,78431,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
мой бизнес,77944,similar,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
не особо,78009,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
деловое предложение,73033,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
защитная сетка,60949,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я бизнес,59287,similar,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
ии нейросеть бесплатно,56638,similar,локальная нейросеть,automation-processes,informational,Информационный,informational,blog,P4-blog
веселая защита владений,56106,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
локально это,55176,similar,развертывание llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
виртуализация,46093,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
управление устройствами,45271,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое ооо,40046,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое организация,39772,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
cloud mail,38964,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
перехват управления,38038,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
моя наука,37074,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
защитные сооружения,36116,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
on cloud,32466,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть это,30388,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
yandex cloud,30023,similar,частное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
принципы управления,29393,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
qwen нейросеть,25337,similar,локальная нейросеть,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интернет безопасность,22393,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
средства защиты информации,20203,similar,безопасность облачной инфраструктуры,automation-processes,informational,Информационный,informational,blog,P4-blog
виды инструктажей по охране,16879,similar,безопасность облачной инфраструктуры,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как включить виртуализацию,16040,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
деловая репутация,15796,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
фнс юл,15515,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
antimalware service executable,14987,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
безопасный интернет,14602,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровая безопасность,13331,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
техническая защита информации,13007,similar,информационная безопасность облака,automation-processes,informational,Информационный,informational,blog,P4-blog
коммерческая организация это,9910,similar,корпоративный ии,ai-corporate,solution_aware,Решение / автоматизация,commercial_medium,enterprise-ai-assistant,P2-landing/ads
перехват управления бастион,10366,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сервис клауд,10307,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
корпорация это,10226,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
как войти в безопасный режим,9963,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
i cloud,9583,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
перплексити нейросеть,8844,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
тракт это,9175,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
яндекс диск это,8820,similar,частное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
облачные технологии,7937,similar,частное облако,automation-processes,informational,Информационный,informational,blog,P4-blog
antimalware service executable что это,7796,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
защита информации это,7147,similar,защищенное облако,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
in the clouds,7407,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
virtual machine,7402,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский секьюрити,7266,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
защитные меры,6763,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айклауд это,6586,similar,приватное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
локальные нейросети,5926,popular,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
защитан,6354,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский free,6112,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
знаешь я так соскучился,6073,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский утилита,5756,similar,kaspersky для виртуальных сред,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
утилита касперского,5756,similar,kaspersky для виртуальных сред,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
icloud это,5571,similar,приватное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
органы управления рсчс,5513,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
t business,5455,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
ip68 степень защиты,5349,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский это,4609,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский пробная версия,4455,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айдентика нейросеть,3872,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
business fm,4125,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автору бизнес,3967,similar,корпоративный rag,automation-processes,informational,Информационный,informational,blog,P4-blog
lenovo legion go s,4019,similar,развертывание llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
поменять регион в аппсторе на соединенные штаты,3936,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
дверь мне запили,3845,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
better clouds,3626,similar,частное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое айклауд,3607,similar,частное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть педагога,3047,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
as i lay dying,3361,similar,развертывание llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айклауд что это,3172,similar,приватное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
secure system,3070,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ip67 степень защиты,3048,similar,защищенное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
перехват управления сегодня,3039,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
корпоратив это,2996,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
как включить аппаратную виртуализацию,2905,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
cloud ии,2740,similar,частное облако,automation-processes,informational,Информационный,informational,blog,P4-blog
цель оправдывает средства,2578,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
виды юр лиц,2539,similar,корпоративный ии,ai-corporate,negative,Негатив / шум,irrelevant,skip,P0-skip
информзащита,2395,similar,информационная безопасность облака,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сенсорная интеграция это,2379,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
приказ ни шагу назад,2354,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский интернет секьюрити,2306,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business studio,2253,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
облачное хранилище данных,2159,similar,приватное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
monkey business,2139,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
virtualization technology,2130,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
мой касперский,2123,similar,kaspersky hybrid cloud,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
контейнеризация,2097,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
система безопасный город,2095,similar,безопасность облачной инфраструктуры,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
onedrive что это,2090,similar,частное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
корпоративный ии,1925,popular,корпоративный ии,ai-corporate,informational,Информационный,informational,blog,P4-blog
ли да ин,1862,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
heygen нейросеть,1289,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ооо рэд,1834,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто мы откуда куда мы идем,1826,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
ты знаешь у меня давно все хорошо,1687,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
все эти суки базарят,1607,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
только дай знать где ты находишься,1535,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
этот сайт не может обеспечить безопасное подключение,1473,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
видеонаблюдение безопасный регион,1446,similar,безопасность облачной инфраструктуры,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
квэн нейросеть,886,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
подписано запечатано доставлено к алтарю фильм 2018,1323,similar,развертывание llm,automation-processes,informational,Информационный,informational,blog,P4-blog
контейнирование,1397,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
оповещение о беспилотной опасности,1392,similar,информационная безопасность облака,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
виртуализация это,1381,similar,защита виртуальных машин,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business casual,1334,similar,корпоративный rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
управляющая компания пожарная безопасность,221,popular,управляемая безопасность,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
кем осуществляется государственное управление охраной труда,1261,similar,управляемая безопасность,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
внедрение llm,145,popular,внедрение llm,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
локальные нейросети без цензуры,137,popular,локальная нейросеть,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
алса нейросеть,641,similar,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
управляющая компания обеспечение безопасности,34,popular,управляемая безопасность,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
нарушение пожарной безопасности управляющая компания,27,popular,управляемая безопасность,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
китайские компании по защищенному частному облаку,21,popular,защищенное облако,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
услуга частное облако,18,popular,частное облако,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
пожарная безопасность ответственность управляющей компании,18,popular,управляемая безопасность,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
локальные llm архитектура и внедрение сбер,17,popular,внедрение llm,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
как сделать облачное хранилище,1122,similar,приватное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
error windows service zapret is installed,1104,similar,внедрение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
локальные нейросети для генерации,543,popular,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
защищенное хранилище в бурных потоках,1090,similar,безопасность облачной инфраструктуры,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
атакующий защитник,1082,similar,защита контейнеров,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
облачное хранилище это,1039,similar,частное облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
правила устройства и безопасной эксплуатации грузоподъемных кранов,487,similar,управляемая безопасность,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
локальная нейросеть на пк,474,popular,локальная нейросеть,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
