phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
со мной,3553054,similar,автоматизация crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
ко мне,886165,similar,автоматизация crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
москва сейчас,861526,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
она такая,658484,similar,автоматизация crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс 24,282941,similar,автоматизация битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
купить автомат,239123,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
моя москва,175640,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
купить робота,165719,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
робот купить,165719,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,informational,blog,P4-blog
срм,141115,similar,внедрение crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс 24 вход,126650,similar,автоматизация битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
кто хочет стать миллионером,112710,similar,генерация коммерческих предложений,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
сделано в москве,101582,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
а так же,94114,similar,автоматизация crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
инструкция по установке,91129,similar,внедрение ии под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что происходит в москве,85658,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что случилось в москве,81337,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
электронный документооборот,72387,similar,автоматизация эдо,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
вводной автомат,39025,similar,автоматизация кп,automation-processes,informational,Информационный,informational,blog,P4-blog
эдо это,34926,similar,автоматизация документооборота,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
вне себя,31659,similar,автоматизация crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
асу это,28183,similar,автоматизация документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
интегратор,26660,similar,интеграция битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
automation,25663,similar,автоматизация кп,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что горит в москве сейчас,25270,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
монтаж это,24672,similar,компания по внедрению ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция это,23421,similar,внедрение битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
црм,21131,similar,внедрение crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
bitrix24 ru,19031,similar,внедрение битрикс24,bitrix24,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
установка кондиционера своими руками,18895,similar,внедрение crm,crm,negative,Негатив / шум,irrelevant,skip,P0-skip
мирена цена,18591,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
эдо что это,16821,similar,автоматизация документооборота,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
