phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
автоматически,2845252,similar,автоматизация процессов с ии,automation-processes,informational,Информационный,informational,blog,P4-blog
автоматический,2289382,similar,автоматизация процессов с ии,automation-processes,informational,Информационный,informational,blog,P4-blog
москва сейчас,793957,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
купить автомат,271897,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,informational,blog,P4-blog
позови меня,263756,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
моя москва,210628,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
свое дело,189662,similar,внедрение ии в бизнес процессы,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
своя компания,163326,similar,ии для бизнеса под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
установить сертификаты,145441,similar,внедрение ии под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
стоимость акций,97891,similar,автоматизация бизнеса цена,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я доставка,72154,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
позови меня с собой,69572,similar,заказать внедрение ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что происходит в москве,64593,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
повышение цен,56604,similar,стоимость внедрения ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
программы купить,53906,similar,автоматизация бизнеса цена,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что случилось в москве,52060,similar,внедрение ии москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
асу это,41099,similar,автоматизация процессов с ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
купить заправку,40768,similar,автоматизация бизнеса цена,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
перехват управления,38735,similar,автоматизация бизнеса с помощью ии,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
все нейросети,37432,similar,интегратор искусственного интеллекта,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
