phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
я хочу,3386375,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
все включено,1155988,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
включи мне,570925,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24,299167,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить автомат,216230,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
я хочу так хочу,185997,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
купить робота,149113,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
робот купить,149113,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
битрикс 24 вход,130035,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
включи пожалуйста,129941,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24,110036,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кто хочет стать миллионером,104646,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
было было было но прошло,66658,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
я хочу нет я хочу,62939,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
купить кассу,56895,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
программы купить,40567,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
вводной автомат,37030,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
торговый автомат,36231,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
эдо это,35414,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
1c ru,30742,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу это,30038,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
учетная запись это,28958,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
дай мне посмотреть,28208,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
иду на вы,27959,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция это,27742,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 вход,27613,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
automation,26753,similar,автоматизация кп,other,irrelevant,Нерелевантный (шум),skip,P0-skip
мавр сделал свое дело,25081,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать автомат,24481,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
bitrix24 ru,21491,similar,внедрение битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
купить проект,21649,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
включай нашу,20086,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
у тебя все получится,19231,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
автомойка купить,17490,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
the business,16540,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
