phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
битрикс 24,296948,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 вход,130076,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
вход в битрикс 24,125819,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 вход в личный кабинет,125302,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кто хочет стать миллионером,107058,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24,56665,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
bitrix,54121,similar,роботы битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
асу это,29151,similar,автоматизация документов,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 вход,26357,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция это,26134,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
технологическая документация,19067,similar,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
a store,14874,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ai bot,14744,similar,роботы битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс это,13935,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как включить секс на устройстве с алисой,11206,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24 вход,9195,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
центр реализации,8569,similar,ai для отдела продаж,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
коммерция это,9313,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24 личный кабинет,8775,similar,роботы битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
bitrix24 ru вход,8697,similar,битрикс24 автоматизация,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
bitrix24 ru вход в личный кабинет,8297,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс что это,8458,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бизнес процесс это,8228,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
at store,7837,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
клуб успешных приобретений,7628,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что,7082,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
миллионер это,6854,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
asset store,6549,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 это,6034,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация документов,4771,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
срм это,5205,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс войти,5203,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
нпо автоматики,4964,similar,автоматизация документов,other,informational,Информационный,blog,P4-blog
кто хочет стать миллионером смотреть,4645,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что это,4554,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix 24,3892,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
чем отличается робот от автомата,4044,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
чем отличается автомат от робота,4044,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
что такое битрикс,4018,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа битрикс,3917,similar,чат бот битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
агрегатор нейросетей,3823,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
т2 бизнес,3323,similar,генерация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
войти в битрикс,3236,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
администратор заблокировал выполнение этого приложения,2989,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
24ок клуб успешных приобретений,2835,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 это,2777,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс срм,2538,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сенсорная интеграция это,2415,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
в настоящее время невозможно создать учетную запись,2409,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
вендинг это,2396,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
коммерция по отраслям,2346,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
коммерция что это,2328,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
ай шоп,2045,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
включи искусственный интеллект,2039,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кто ведет кто хочет стать миллионером,1911,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
настройка битрикс24,1377,popular,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс24 что это,1860,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
1с автоматизация документов,1337,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс 24 войти,1774,similar,интеграция битрикс24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс веб,1742,similar,bitrix24 ai,other,irrelevant,Нерелевантный (шум),skip,P0-skip
sku что это такое в торговле,1727,similar,ai для отдела продаж,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс поддержка,1169,similar,настройка битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
аи помощник,1659,similar,внедрение ai ассистента,other,irrelevant,Нерелевантный (шум),skip,P0-skip
срм система это,1633,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
электронный документооборот что это,1076,similar,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
как сделать автоматическое содержание,1445,similar,автоматизация документов,other,informational,Информационный,blog,P4-blog
программа битрикс 24,1469,similar,чат бот битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое битрикс24,1453,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
больше не цепляет dm studio,1441,similar,внедрение crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
создание систем искусственного интеллекта взаимодействие с разработчиками,403,similar,внедрение ai ассистента,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
что такое битрикс 24,1401,similar,настройка битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
1c битрикс,867,similar,интеграция битрикс24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс что это за программа,1360,similar,битрикс24 автоматизация,other,irrelevant,Нерелевантный (шум),skip,P0-skip
системы автоматизации документов,819,popular,автоматизация документов,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
