phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
автоматический,2322572,similar,автоматизация производства,automation-processes,informational,Информационный,informational,blog,P4-blog
изготовление,1956273,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
постройка,1110256,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто производитель,964991,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
marketing,755202,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
школа это,638862,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
помоги мне,570546,similar,ии для техподдержки,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айти,445834,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
ии онлайн,444145,similar,ии для интернет магазина,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
программист,426602,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
служба поддержки,422435,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
кто создал,409868,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
пора на завод,361242,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
номер поддержки,297582,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
центр образования,225145,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
документ ворд,211743,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
логист,210960,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
свое дело,199874,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ии для создания,175231,similar,разработка erp системы,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
электронная конфигурация,172091,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
своя компания,163326,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
маркетолог,135290,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
озвучка голоса,129093,similar,голосовой робот для звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
help me,127424,similar,ии для техподдержки,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сервис это,123474,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
пора на завод смотреть,111171,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ии бот,108151,similar,разработка чат бота для бизнеса,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
поддержка это,101214,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
архитектурно строительный,100905,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
имущество это,97441,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
онлайн консультация,97314,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
документ в пдф,94572,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
отдел продаж,89689,similar,ии агент для бизнеса заказать,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
техническая поддержка,83173,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
слова поддержки,78289,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
а строй,76567,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
проверка файлов,75879,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровизация,75127,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
retail,70702,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
завод изготовитель,68259,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
розничная торговля,68082,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
тех поддержка,65219,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
бухгалтерский учет это,62589,similar,ии для бухгалтерии,automation-processes,negative,Негатив / шум,product_1c,skip,P0-skip
создать бота,62260,similar,разработка чат бота для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
скан документов,61694,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
квартира ру,60096,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
тбизнес,58187,similar,yandexgpt для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
estate,58244,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознать текст,57347,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
юридическое лицо это,54421,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как перестать есть,54110,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
группа поддержки,47858,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
цифровая трансформация,46417,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
отрасли промышленности,46398,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровой id,46236,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросеть ответ,44804,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
учеба это,43731,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
поддержка стим,42452,similar,чат бот для поддержки клиентов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
институт развития образования,39787,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
дом под землей,39214,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
реши за меня,37721,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
чему учат в школе,36560,similar,ии для образования,automation-processes,informational,Информационный,informational,blog,P4-blog
автоматизация производства,33559,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
айти софт,33550,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
не твое дело,33013,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
очное обучение это,32926,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
экспертиза проектной документации,31502,similar,распознавание документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
промышленность это,31530,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
вордовский документ,30235,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
интернет вещей,30338,similar,ии для интернет магазина,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сканирование документов,29519,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
the business,29915,similar,gpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
свое жилье,29653,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
тбизнес личный кабинет,29236,similar,yandexgpt для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
ии чат бот,28654,similar,голосовой бот для бизнеса,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ооо фабрика,29029,similar,ии для производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
принципы обучения,27830,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
из дома в квартиру,27760,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
1c ru,27576,similar,интеграция 1с с сайтом,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
зачем прилетал цру,27151,similar,разработка ai агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
vxe r1,26175,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
automation,25928,similar,автоматизация производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
общение с ботами,25188,similar,разработка чат бота для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
юриспруденция это,25162,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
моделирование это,24198,similar,разработка erp системы,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
телеком сервис,23995,similar,ии для техподдержки,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
редактор это,23927,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
начальник отдела кадров,23548,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
реши пиши,23239,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
помощник повара,22118,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
учебный комбинат,22066,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
бухгалтеры или бухгалтера,20343,similar,ии для бухгалтерии,automation-processes,negative,Негатив / шум,product_1c,skip,P0-skip
бухгалтер это,20003,similar,ии для бухгалтерии,automation-processes,negative,Негатив / шум,product_1c,skip,P0-skip
yandex pay,18901,similar,yandexgpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
агентство свои,18897,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
for business,18880,similar,gpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
адвокат это,17755,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
риэлтор или,17645,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
a store,16974,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
i moscow,16658,similar,it аутсорсинг москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматические системы управления,16241,similar,автоматизация склада,automation-processes,informational,Информационный,informational,blog,P4-blog
realty,15955,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
везет всем,15756,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
поддержка т2,15146,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
vxe r1 se,15611,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
озвучка робота,15478,similar,голосовой бот для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
автоматический лоток,15207,similar,автоматизация склада,automation-processes,informational,Информационный,informational,blog,P4-blog
ушаков помощник,15000,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
общаться с ботами,14840,similar,голосовой бот для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
зачем прилетал директор цру,14924,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
consultant ru,14921,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
документ из пдф в ворд,14197,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
распознать пдф,14288,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
ритейлер,14222,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ex5 em i,14041,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нам джу хек,13890,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
правовед,13862,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
