run_date,engine,question,brand_mentioned,site_cited,score,sources,answer_excerpt
2026-09-07,yandex-gensearch,внедрение ии в бизнес под ключ цена,,,,,
2026-09-07,yandex-gensearch,кто внедряет ии в компании в москве,,,,,
2026-09-07,yandex-gensearch,разработка ии-агентов для бизнеса,,,,,
2026-09-07,yandex-gensearch,внедрение amocrm под ключ,,,,,
2026-09-07,yandex-gensearch,интеграция битрикс24 с 1с,,,,,
2026-09-07,yandex-gensearch,ии для отдела продаж анализ звонков,,,,,
2026-09-07,yandex-gensearch,приватная llm в закрытом контуре on-premise,,,,,
2026-09-07,yandex-gensearch,автоматизация кп и смет в crm,,,,,
2026-09-07,chatgpt,внедрение ии в бизнес под ключ цена,,,,,
2026-09-07,chatgpt,кто внедряет ии в компании в москве,,,,,
2026-09-07,chatgpt,разработка ии-агентов для бизнеса,,,,,
2026-09-07,chatgpt,внедрение amocrm под ключ,,,,,
2026-09-07,chatgpt,интеграция битрикс24 с 1с,,,,,
2026-09-07,chatgpt,ии для отдела продаж анализ звонков,,,,,
2026-09-07,chatgpt,приватная llm в закрытом контуре on-premise,,,,,
2026-09-07,chatgpt,автоматизация кп и смет в crm,,,,,
2026-09-07,claude,внедрение ии в бизнес под ключ цена,,,,,
2026-09-07,claude,кто внедряет ии в компании в москве,,,,,
2026-09-07,claude,разработка ии-агентов для бизнеса,,,,,
2026-09-07,claude,внедрение amocrm под ключ,,,,,
2026-09-07,claude,интеграция битрикс24 с 1с,,,,,
2026-09-07,claude,ии для отдела продаж анализ звонков,,,,,
2026-09-07,claude,приватная llm в закрытом контуре on-premise,,,,,
2026-09-07,claude,автоматизация кп и смет в crm,,,,,
2026-09-07,perplexity,внедрение ии в бизнес под ключ цена,,,,,
2026-09-07,perplexity,кто внедряет ии в компании в москве,,,,,
2026-09-07,perplexity,разработка ии-агентов для бизнеса,,,,,
2026-09-07,perplexity,внедрение amocrm под ключ,,,,,
2026-09-07,perplexity,интеграция битрикс24 с 1с,,,,,
2026-09-07,perplexity,ии для отдела продаж анализ звонков,,,,,
2026-09-07,perplexity,приватная llm в закрытом контуре on-premise,,,,,
2026-09-07,perplexity,автоматизация кп и смет в crm,,,,,
