phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
битрикс 24,296948,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ии для создания,152100,similar,разработка rag системы,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс 24 вход,130076,similar,интеграция bitrix24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
разработчик игр,61344,similar,разработка rag системы,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
ии помощник,38074,similar,локальный ai ассистент,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
интеграция это,26134,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
локальные системы,17169,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс это,13935,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
невозможно установить безопасное соединение,9605,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
мой создатель,8793,similar,разработка rag системы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс что это,8458,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
create aeronautics 1.20 1,8370,similar,разработка rag системы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что,7082,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 это,6034,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
башня помощника,5261,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
срм это,5205,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс войти,5203,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что это,4554,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix 24,3892,similar,автоматизация bitrix24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
что такое битрикс,4018,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа битрикс,3917,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
робототехника это,3498,similar,разработка rag системы,other,informational,Информационный,blog,P4-blog
битрикс24 это,2777,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
написать пост с помощью нейросети,2077,similar,локальный ai ассистент,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
1c bitrix,2067,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
битрикс срм,2538,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрекс,2334,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
create aeronautics 1.21 1,2161,similar,разработка rag системы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 что это,1860,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 войти,1774,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
аи помощник,1659,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение битрикс24,552,similar,автоматизация bitrix24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
1c connect,980,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
программа битрикс 24,1469,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое битрикс24,1453,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
больше не цепляет dm studio,1441,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
локальный модуль честный знак не инициализирован,1419,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
создание систем искусственного интеллекта взаимодействие с разработчиками,403,similar,внедрение bitrix24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
что такое битрикс 24,1401,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
1c битрикс,867,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
невозможно установить безопасное соединение по гост,1356,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrixvm,650,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
1c bitrix ru,592,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
внедрение bitrix24,70,popular,внедрение bitrix24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
мой класс срм,1060,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
разработка rag систем,39,popular,разработка rag системы,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
битрикс24 войти,1043,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение bitrix24 во владимире,17,popular,внедрение bitrix24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение crm bitrix24,17,popular,внедрение bitrix24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
специалист по работе с системами искусственного интеллекта,920,similar,локальный ai ассистент,other,informational,Информационный,blog,P4-blog
битрикс 2,984,similar,интеграция bitrix24 с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
kling al нейросеть,458,similar,локальный ai ассистент,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
срм система что это,921,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
access что это за программа,882,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс что это такое,858,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 что это такое,773,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
savefrom net помощник,772,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bittrex,761,similar,внедрение bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что это за программа,671,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ассистивные технологии это,167,similar,локальный ai ассистент,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
ритейл срм,666,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix 24 это,111,similar,автоматизация bitrix24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
crm битрикс 24 что это,104,similar,автоматизация bitrix24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
sbis 1c обработка,91,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
bitrix bngf ru,75,similar,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
автоматизация bitrix24,30,popular,автоматизация bitrix24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
ai ассистент локально,25,popular,локальный ai ассистент,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
bitrix24 интеграция с 1с,20,popular,интеграция bitrix24 с 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P3-seo
как настроить маршрутизацию в happ,508,similar,настройка crm bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
написать статью с помощью искусственного интеллекта,472,similar,локальный ai ассистент,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 веб,389,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
б24 битрикс,317,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать машину в create aeronautics,313,similar,разработка rag системы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
b24 битрикс,305,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
create aeronautics 1.21 11,281,similar,разработка rag системы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать механизм точности в create,281,similar,разработка rag системы,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 авторизация,271,similar,автоматизация bitrix24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
написать статью с помощью нейросети бесплатно,168,similar,локальный ai ассистент,other,informational,Информационный,blog,P4-blog
