phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
она такая,693036,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
di,543407,similar,dify,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
1 c,522961,similar,ии для 1с,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
agent,365497,similar,разработка ии агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business,304650,similar,rag для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс 24,303969,similar,ии для битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
услышь меня,226858,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
бизнесмен,203837,similar,rag для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
битрикс 24 вход,140264,similar,ии для битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
от а до я,139692,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
моя цена,129065,similar,купить rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
я покупаю,116969,similar,купить rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
инструкция по установке,96673,similar,внедрение ии под ключ,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
отдел продаж,90129,similar,купить rag,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
диф,83143,similar,dify,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
не особо,81579,similar,n8n внедрение,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
re premium,79663,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
деф,68317,similar,dify,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
позови меня с собой,65204,similar,n8n внедрение,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
bitrix24,56228,similar,ии для битрикс24,bitrix24,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
моя наука,39401,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
1c ru,27187,similar,ии для 1с,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
интеграция это,24278,similar,n8n внедрение,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
diff,22199,similar,dify,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
все будет по моему,21747,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
кое это,21319,similar,база знаний с ии,knowledge-base,negative,Негатив / шум,irrelevant,skip,P0-skip
i shop,19337,similar,купить rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
the business,17021,similar,rag для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
магазин мм2,15927,similar,купить rag,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
битрикс это,14928,similar,ии для битрикс24,bitrix24,negative,Негатив / шум,irrelevant,skip,P0-skip
есиа это,14845,similar,n8n внедрение,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
помощник по уходу,14085,similar,ии ассистент для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
dependencies,13455,similar,dify,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
мой создатель,12793,similar,разработка ии агентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
передовые технологии,10786,similar,n8n внедрение,automation-processes,informational,Информационный,informational,blog,P4-blog
дифференцировка,10625,similar,dify,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
эль ниньо что это,10461,similar,on premise llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
